concept,F0,F102,F22,F24,F51,F53,F75,G0,G102,G22,G24,G51,G53,G75,M0,M102,M22,M24,M51,M53,M75,P0,P102,P22,P24,P51,P53,P75,S0,S102,S22,S24,S51,S53,S75
above,0.3952702702702703,0.46621621621621623,0.32094594594594594,0.3952702702702703,0.3547297297297297,0.3344594594594595,0.3108108108108108,0.375,0.33108108108108103,0.38541666666666663,0.3885135135135135,0.4560810810810811,0.3581081081081081,0.3819444444444444,0.3819444444444444,0.3581081081081081,0.31081081081081086,0.2804054054054054,0.3888888888888889,0.3243243243243243,0.28040540540540543,0.44932432432432434,0.4256756756756757,0.3918918918918919,0.39583333333333337,0.32770270270270274,0.3344594594594595,0.39864864864864863,0.40202702702702703,0.3952702702702703,0.3344594594594595,0.30405405405405406,0.35135135135135137,0.31081081081081086,0.3783783783783784
airplane,0.49324324324324326,0.31418918918918914,0.46621621621621623,0.4189189189189189,0.40202702702702703,0.3581081081081081,0.3581081081081081,0.6891891891891891,0.27702702702702703,0.49324324324324326,0.5371621621621622,0.5236486486486487,0.6114864864864865,0.4864864864864865,0.5574324324324325,0.42229729729729726,0.5135135135135135,0.44256756756756754,0.45270270270270274,0.5844594594594594,0.40202702702702703,0.6824324324324325,0.24324324324324326,0.34797297297297297,0.3298611111111111,0.39864864864864863,0.44791666666666663,0.27702702702702703,0.2905405405405405,0.23310810810810811,0.25,0.25675675675675674,0.22972972972972974,0.2804054054054054,0.2533783783783784
angry,0.1527777777777778,0.2857142857142857,0.28125,0.2326388888888889,0.3263888888888889,0.16666666666666669,0.2152777777777778,0.19642857142857145,0.48958333333333337,0.3645833333333333,0.2638888888888889,0.30208333333333337,0.21428571428571427,0.3506944444444444,0.1597222222222222,0.3090277777777778,0.1423611111111111,0.13194444444444448,0.21527777777777782,0.15625,0.2743055555555556,0.1597222222222222,0.6392857142857142,0.6076388888888888,0.5555555555555556,0.48958333333333337,0.5034722222222222,0.5625,0.1527777777777778,0.3263888888888889,0.2465277777777778,0.2847222222222222,0.2951388888888889,0.2743055555555556,0.2326388888888889
apple,0.5104166666666666,0.21785714285714286,0.24642857142857144,0.2857142857142857,0.2777777777777778,0.3194444444444444,0.19444444444444445,0.7395833333333334,0.2638888888888889,0.3958333333333333,0.4861111111111111,0.4722222222222222,0.625,0.4444444444444444,0.22569444444444445,0.20833333333333331,0.19444444444444445,0.21180555555555555,0.18055555555555555,0.21875,0.21180555555555555,0.7222222222222222,0.18055555555555555,0.1736111111111111,0.2222222222222222,0.3194444444444444,0.39583333333333337,0.2569444444444444,0.42708333333333337,0.10416666666666666,0.2,0.21180555555555552,0.2013888888888889,0.35416666666666663,0.1840277777777778
banana,0.5520833333333334,0.1875,0.3402777777777778,0.4305555555555556,0.40625,0.4756944444444444,0.2465277777777778,0.5104166666666666,0.17708333333333331,0.2777777777777778,0.3680555555555556,0.41666666666666663,0.5381944444444444,0.25,0.23958333333333331,0.21875,0.22916666666666669,0.2534722222222222,0.2777777777777778,0.23571428571428568,0.2569444444444444,0.5486111111111112,0.10069444444444446,0.11458333333333333,0.16428571428571426,0.3194444444444444,0.3263888888888889,0.1597222222222222,0.5069444444444444,0.2534722222222222,0.32291666666666663,0.4305555555555556,0.4409722222222222,0.4409722222222222,0.3020833333333333
beach,0.3298611111111111,0.4583333333333333,0.6286764705882353,0.4965277777777778,0.3993055555555556,0.4201388888888889,0.40714285714285714,0.2569444444444444,0.5694444444444444,0.6215277777777778,0.4409722222222222,0.4375,0.3993055555555556,0.4791666666666667,0.3402777777777778,0.4340277777777778,0.4027777777777778,0.3576388888888889,0.4131944444444444,0.3090277777777778,0.4548611111111111,0.20833333333333331,0.5590277777777778,0.6180555555555556,0.6527777777777778,0.40625,0.6145833333333334,0.5798611111111112,0.2916666666666667,0.4131944444444444,0.4409722222222222,0.4236111111111111,0.34375,0.33333333333333337,0.3715277777777778
bear,0.37162162162162166,0.40878378378378377,0.5,0.40202702702702703,0.3581081081081081,0.3993055555555556,0.43243243243243246,0.10135135135135136,0.11148648648648647,0.17567567567567569,0.11148648648648647,0.11824324324324324,0.10472972972972974,0.1527777777777778,0.7027027027027027,0.5304054054054054,0.7027027027027027,0.7432432432432432,0.5608108108108109,0.7466216216216216,0.5709459459459459,0.1388888888888889,0.17567567567567569,0.23310810810810811,0.1925675675675676,0.13513513513513514,0.21621621621621623,0.17905405405405406,0.0798611111111111,0.10472972972972974,0.11785714285714284,0.13851351351351354,0.07432432432432431,0.11486486486486487,0.10810810810810811
below,0.44932432432432434,0.4628378378378379,0.5574324324324325,0.47297297297297297,0.5506756756756757,0.5,0.4861111111111111,0.44932432432432434,0.4695945945945946,0.44256756756756754,0.43243243243243246,0.32770270270270274,0.46621621621621623,0.4695945945945946,0.40202702702702703,0.5833333333333334,0.48986486486486486,0.5202702702702703,0.4831081081081081,0.49324324324324326,0.5506756756756757,0.40202702702702703,0.48986486486486486,0.4054054054054054,0.3783783783783784,0.4695945945945946,0.45270270270270274,0.48648648648648646,0.38541666666666663,0.44594594594594594,0.45270270270270274,0.4628378378378379,0.46283783783783783,0.39864864864864863,0.40202702702702703
beside,0.39864864864864863,0.40202702702702703,0.4189189189189189,0.42567567567567566,0.4797297297297297,0.4305555555555556,0.3952702702702703,0.4189189189189189,0.375,0.4236111111111111,0.37162162162162166,0.40878378378378377,0.40202702702702703,0.3333333333333333,0.42567567567567566,0.42229729729729726,0.48986486486486486,0.42905405405405406,0.4358108108108108,0.40878378378378377,0.39864864864864863,0.4189189189189189,0.3277027027027027,0.36486486486486486,0.38513513513513514,0.3952702702702703,0.3611111111111111,0.3716216216216216,0.44932432432432434,0.37837837837837834,0.42905405405405406,0.4097222222222222,0.3918918918918919,0.35135135135135137,0.375
bird,0.40878378378378377,0.43918918918918914,0.44256756756756754,0.3581081081081081,0.3614864864864865,0.4391891891891892,0.4155405405405405,0.21959459459459457,0.23986486486486486,0.22972972972972974,0.28716216216216217,0.25675675675675674,0.2195945945945946,0.25,0.5675675675675675,0.5168918918918919,0.5743243243243243,0.5574324324324325,0.44932432432432434,0.597972972972973,0.5135135135135135,0.24324324324324328,0.22635135135135137,0.20608108108108106,0.2905405405405405,0.20270270270270271,0.31756756756756754,0.21959459459459457,0.14527027027027026,0.15625,0.1840277777777778,0.21283783783783783,0.15878378378378377,0.17905405405405406,0.17708333333333331
