concept1,concept2,textures,mse,range
comfort,speed,"M51, M24, S53, P75, P0, S24",0.0019106603270088846,0.8734789842474752
comfort,speed,"G75, M22, F53, P0, S24, M24",0.0016563441934584837,0.907441796817566
comfort,speed,"S51, S75, M24, G75, F0, P0",0.0018120674439165865,0.8489717806467928
comfort,speed,"S51, F102, M24, G75, P0, S24",0.0017848138073320733,0.8801201752196314
comfort,speed,"F22, M53, P0, S0, S22, G102",0.0021011375693312786,0.8388071860317112
comfort,speed,"P75, S24, P0, F24, M24, F75",0.001548814971046234,0.8727204887632235
comfort,speed,"M53, G75, F51, M24, S0, P0",0.0020527765802820846,0.8559344382765474
comfort,speed,"M24, P75, M75, S24, F22, P0",0.0018164325096217547,0.8717716935439085
comfort,speed,"P0, G51, S0, M24, P24, G53",0.0018124860486541815,0.9102531792769207
comfort,speed,"F22, G75, P0, F0, M24, S22",0.0016252705835102012,0.8654002251789922
comfort,speed,"P0, S75, S22, S0, M51, G102",0.001600675613985043,0.9039369195055487
comfort,speed,"G75, F0, P0, F102, M24, M53",0.0021875933326835715,0.8559344382765474
comfort,speed,"G75, G51, F0, M24, P0, P51",0.0018770089533355677,0.8751764443606431
comfort,speed,"M22, P0, S22, F75, P22, S0",0.002589370710956643,0.879484125192758
comfort,speed,"P0, M24, S51, M51, F0, P22",0.001690793733754759,0.8600991675861628
comfort,speed,"P0, F0, M24, P75, S53, M51",0.0019754459952768277,0.8734789842474752
comfort,speed,"G102, S0, P0, S75, M102, M75",0.001672361424281445,0.886996314639771
comfort,speed,"G75, P0, F0, M51, M0, M24",0.001985566880869163,0.8625637705482655
comfort,speed,"P0, M22, S0, M24, P102, M75",0.0016519284303174292,0.8731038369802465
comfort,speed,"P102, S102, S0, M53, M51, P0",0.001550994072272505,0.8495191892229721
comfort,speed,"P22, S75, M51, S0, P0, S102",0.001598736204575679,0.8600899996899071
comfort,speed,"G0, S0, G51, M24, P0, P24",0.001697195329548859,0.849764276717485
comfort,speed,"P0, M51, S102, P75, F53, M24",0.0020733148165933096,0.876112228370253
comfort,speed,"F53, P0, S24, P22, M75, M24",0.0017621870806411347,0.907441796817566
comfort,speed,"F22, M24, F102, P22, P0, F0",0.0017748882126988638,0.8419712228966748
comfort,speed,"F53, S24, M22, P0, P75, M24",0.0015897699560754757,0.907441796817566
comfort,speed,"S51, P0, P22, F0, F51, M24",0.0016995041315943284,0.8489717806467928
comfort,speed,"M51, M24, F0, G75, P0, S53",0.0018110427236018207,0.8734789842474752
comfort,speed,"M53, P0, M75, S22, S0, G75",0.0021225853028738434,0.8801829668476724
comfort,speed,"P102, P0, M24, F0, M22, S75",0.002447632984605775,0.8968519817260263
comfort,speed,"S102, P0, S75, S24, P102, S0",0.0017846831296474816,0.8512815936530522
comfort,speed,"M22, S75, P102, S0, S51, P0",0.0017174287591659408,0.8808297530456803
comfort,speed,"G75, G51, G22, F0, P0, M24",0.0018456746622379965,0.8615505781717202
comfort,speed,"P0, F51, M24, S53, F53, P75",0.0019057498909859348,0.8869157060092052
comfort,speed,"F75, F53, M24, F0, P22, P0",0.0017151870377010118,0.8762158268996498
comfort,speed,"P0, S0, M75, S102, S75, P102",0.0017340154155152945,0.8818214118738333
comfort,speed,"S0, F51, P0, S102, G102, M24",0.0018164789658026046,0.8933702074649669
comfort,speed,"P0, F24, M24, M22, P22, F53",0.002146044042074919,0.8915394369227446
comfort,speed,"F75, S75, S0, G75, F51, P0",0.001982887676913066,0.8804710325653529
comfort,speed,"P0, S102, M51, P22, S0, S75",0.001598736204575679,0.8600899996899071
comfort,speed,"F22, G102, F75, S75, S0, P0",0.0016481790263739651,0.8804710325653529
comfort,speed,"P22, M51, P0, S0, M53, F102",0.001669336049548009,0.8412004660051169
comfort,speed,"P75, S75, P0, F75, M24, F0",0.0018310952031686707,0.8964932612456988
comfort,speed,"M24, S53, P22, S22, F53, P0",0.0019478912281001416,0.8869157060092052
comfort,speed,"P75, S0, P0, M75, M24, M53",0.0014667513457319024,0.8559344382765474
comfort,speed,"M24, F102, P75, P0, F53, S53",0.0017821594396090184,0.8869157060092052
comfort,speed,"P0, G102, F102, S0, S24, M22",0.0022856579440902916,0.8623810367267297
comfort,speed,"M53, M24, F0, S24, P22, P0",0.002157778269356437,0.8907755087516737
comfort,speed,"G22, F0, G0, P51, M24, P102",0.002398834109833926,0.8569160548566401
comfort,speed,"F53, P75, P0, F51, S51, M24",0.0018199129608844013,0.89911528273033825
comfort,speed,"S0, S75, F51, P0, F53, P22",0.0025032682801424864,0.8222779920286903
comfort,speed,"S0, M53, S102, S51, P0, G75",0.0022543970612144393,0.816195107476616
comfort,speed,"F0, M51, M24, S53, P0, P102",0.001862597450124368,0.8734789842474752
comfort,speed,"S24, F51, G75, F53, P0, M24",0.0017941911530523346,0.907441796817566
comfort,speed,"P0, S22, M0, F0, M24, G102",0.0017459810546094194,0.8557268559310854
comfort,speed,"P0, P75, M24, S24, M53, F75",0.0019026198690906026,0.8711317490438608
comfort,speed,"P102, F51, S22, S0, M53, P0",0.0018074690318793888,0.8845411807523065
comfort,speed,"S22, P22, S0, P0, S75, F102",0.0018267731202689227,0.8611947667807976
comfort,speed,"M22, P0, S0, M51, F102, G102",0.0023345306093297577,0.8623810367267297
comfort,speed,"F102, P0, S51, M24, S24, P22",0.0018181853424850596,0.8801201752196314
comfort,speed,"S24, P75, M24, S51, P0, F75",0.0013429433756776093,0.8801201752196314
comfort,speed,"S0, P102, P0, M24, F102, M75",0.0017077288891940445,0.8892955849205838
comfort,speed,"G75, F22, F0, M24, P0, S75",0.001992916244789226,0.8419712228966748
comfort,speed,"M75, G75, F0, P0, M24, S53",0.0018962948693435208,0.8519154219222801
comfort,speed,"F0, G75, M24, P0, S102, F24",0.001785409685977119,0.8426454071832998
comfort,speed,"P0, F0, M24, P22, M102, F53",0.0017785449335570179,0.8762158268996498
comfort,speed,"S24, F53, S22, P0, M24, G102",0.001759830331944932,0.907441796817566
comfort,speed,"S75, P0, S51, S0, F102, P22",0.0017238822648362022,0.8611947667807976
comfort,speed,"M24, S102, P75, F0, P0, M102",0.001999299908828789,0.8754040647840583
comfort,speed,"F24, M24, M102, F0, P102, P0",0.00181099005980507,0.8693363762782186
comfort,speed,"P0, P102, M102, M51, S0, M53",0.0020771095802131763,0.897724119494246
comfort,speed,"S24, M102, P22, P0, M24, F0",0.0015919249817098408,0.8907755087516737
comfort,speed,"P0, S24, F0, G75, M102, M24",0.0017386556698525135,0.8907755087516737
comfort,speed,"P102, F22, S102, M22, S0, P0",0.002293644325211693,0.8539940314913028
comfort,speed,"P0, M75, S0, S75, M51, P102",0.0016910420500806885,0.8872798003800589
comfort,speed,"P0, M0, G102, M24, F0, S22",0.0017459810546094194,0.8557268559310854
comfort,speed,"P75, M24, M0, P0, F53, F75",0.0019478703265948776,0.9000482813352383
comfort,speed,"F0, M24, M75, P0, S51, P75",0.001959034145090867,0.8489717806467928
comfort,speed,"M24, M75, P0, F102, P75, S0",0.0016667203224466844,0.8892955849205838
comfort,speed,"G102, S0, P0, M51, M53, F75",0.0016279996189538014,0.84453870989658
comfort,speed,"M24, M53, F0, G75, P0, M75",0.001913836036526849,0.8559344382765474
comfort,speed,"P0, S0, M51, F102, S75, P22",0.0016000757020922117,0.8611947667807976
comfort,speed,"S102, S75, F53, P0, P102, S0",0.001997937181727108,0.8512815936530522
comfort,speed,"F22, M24, F0, G102, F51, P0",0.0019465895553375993,0.8548654194686308
comfort,speed,"S102, F22, P75, F0, M24, P0",0.0018768089716488829,0.8419712228966748
comfort,speed,"P75, P0, M0, M24, S53, S75",0.0018644392956782404,0.9117815746358652
comfort,speed,"S22, P0, M53, S0, G102, M75",0.0017891876837839746,0.8801829668476724
comfort,speed,"P0, S53, G102, M22, S24, M24",0.0022127493056017015,0.8675421630565433
comfort,speed,"M24, S24, P0, F0, G75, M51",0.0018467128814764083,0.8907755087516737
comfort,speed,"S0, P0, M53, S24, M22, G75",0.002289006270689301,0.8451661091665013
comfort,speed,"M24, S24, P0, F53, G102, S22",0.001759830331944932,0.907441796817566
comfort,speed,"S0, F75, P22, M53, P0, S22",0.001897809005970347,0.84453870989658
comfort,speed,"S24, M51, P0, M24, P75, S22",0.0016960809801276676,0.9199591481858946
comfort,speed,"M24, F0, F75, S24, P102, P0",0.0017597632436675262,0.8907755087516737
comfort,speed,"M24, F0, S51, G75, P0, S22",0.0015689667407835304,0.8527433789146005
comfort,speed,"G75, F0, M51, S51, P0, M24",0.0018285463296924952,0.8600991675861628
comfort,speed,"P0, F0, F75, M24, G75, S102",0.0023282104074624052,0.8972223157406437
comfort,speed,"G102, P0, S0, F102, M102, F75",0.0023124722518052137,0.862165147324318
comfort,speed,"P0, F0, P75, M24, M51, F51",0.002278915544105761,0.9074731241080042
comfort,speed,"P0, S0, G24, P24, G51, M24",0.0017163070106458469,0.9006275311229611
comfort,speed,"S24, G53, S0, P0, F0, M24",0.002166595521934392,0.8907755087516737
comfort,speed,"G102, S75, S0, F22, M22, P0",0.0016281049451127498,0.8808297530456803
comfort,speed,"P22, S53, M24, P0, M75, F0",0.001771915385471021,0.8519154219222801
comfort,speed,"P22, M24, F53, S24, F51, P0",0.0017379380471883297,0.907441796817566
comfort,speed,"P0, M51, S0, S75, M75, G102",0.0016320550582050327,0.8872798003800589
comfort,speed,"P0, S0, G75, F51, S102, M53",0.0019349699414811191,0.8667771683176859
comfort,speed,"M22, M53, S0, S51, P0, P102",0.0018886833785230156,0.8451661091665013
comfort,speed,"G102, F24, S102, P0, S75, S0",0.0016356599639431911,0.8512815936530522
comfort,speed,"P0, G102, S0, F75, F102, S24",0.0022256502750222823,0.862165147324318
comfort,speed,"F75, G102, P0, S0, M75, M24",0.0017136089205458498,0.8725238984648772
comfort,speed,"S24, P0, G75, M24, S22, F0",0.001570887194972918,0.8907755087516737
comfort,speed,"G51, P102, M24, P0, P75, G102",0.002298836476524078,0.882047864566774
