concept1,concept2,textures,mse,range
corn,eggplant,"G53, F53, G0, S24, M102, G24",0.0014275546201683673,0.91958859074574
corn,eggplant,"S24, S0, F24, G51, P102, G53",0.0010197937695993287,0.93838590124062
corn,eggplant,"G53, S24, G51, P0, S102, M0",0.0010406892116889758,0.9474966807561279
corn,eggplant,"S51, S24, S53, G51, P102, M53",0.001211187546988702,0.968048072846879
corn,eggplant,"G102, G51, S24, F24, S0, S51",0.001224190623520141,0.9397979035938151
corn,eggplant,"S24, M0, P51, P22, F22, G0",0.0010553114153020711,0.9507008823354639
corn,eggplant,"G22, S51, S0, S75, M75, S22",0.0015200631328038665,0.9297944698591051
corn,eggplant,"S51, M24, F75, G0, S24, M22",0.0013003550686061121,0.9527846432868049
corn,eggplant,"S24, G53, M24, G51, S0, G102",9.130610386460862e-4,0.9643068097215169
corn,eggplant,"G51, S24, S0, P53, F53, P102",0.0012463118736572747,0.9217637328748284
corn,eggplant,"S53, F102, G75, F75, M22, P51",0.0013505184409198724,0.8906676794665134
corn,eggplant,"S75, S24, G53, S0, M0, G24",0.0013754704389358232,0.943280796333594
corn,eggplant,"M0, P75, S53, S22, S24, G24",0.0013872016320078482,0.962090383480841
corn,eggplant,"S0, S75, P24, G22, F51, M51",0.0011860632732461189,0.9194500963659175
corn,eggplant,"S0, M0, F53, S75, G51, S24",9.849739778221092e-4,0.943280796333594
corn,eggplant,"G0, S24, P22, F24, F22, M51",9.707104535352642e-4,0.936945537965381
corn,eggplant,"S24, P24, S102, G51, M0, F53",0.0014369914920944495,0.8979190930058619
corn,eggplant,"G0, S24, S51, G22, P22, M0",0.0011028828363597641,0.9507008823354639
corn,eggplant,"S53, P53, P22, P24, F102, G75",0.0015574860823536736,0.8841055289430093
corn,eggplant,"G51, F0, M24, S75, S24, G53",6.788570756835776e-4,0.9624817956799739
corn,eggplant,"M102, P0, M75, G22, S51, S22",0.001184854527257199,0.9227230856624881
corn,eggplant,"S0, M53, G51, F24, F53, S75",0.0014543759434431603,0.9179118351153389
corn,eggplant,"M102, M75, S22, S51, G75, P0",0.001196652924249347,0.9227230856624881
corn,eggplant,"P53, G51, S24, F53, S75, P0",0.00123885945195076,0.9105523767415474
corn,eggplant,"S24, G102, M24, P22, F53, G51",0.001319213719696757,0.9168888157886549
corn,eggplant,"S22, G102, M0, P0, S24, G51",9.277759122694922e-4,0.9517132534446859
corn,eggplant,"S75, M75, F53, M102, P22, M51",0.0011893559901476785,0.8734913920192697
corn,eggplant,"G24, P102, S24, M0, S22, S0",0.0014016991851778522,0.9521412456107029
corn,eggplant,"M0, M22, P22, S24, G51, P75",0.0011671619419671225,0.9049253541720329
corn,eggplant,"F102, F51, S51, G75, F0, M51",0.0014185817886897983,0.9224618667694847
corn,eggplant,"P24, S24, M0, G0, S22, G75",0.0013657948189877262,0.929613380343046
corn,eggplant,"S0, S53, G53, G51, M24, M75",0.0013142881423635106,0.9068501466232877
corn,eggplant,"G51, S0, F24, F51, G24, S75",0.0013919897178242633,0.9248968248597437
corn,eggplant,"S53, S22, S75, S102, G22, G75",0.0013392169814011156,0.9310349809567329
corn,eggplant,"M0, S24, G53, S75, G51, F0",9.062472659469561e-4,0.951728233922355
corn,eggplant,"P22, G51, F22, G0, P53, F51",0.0010757767741128407,0.8996782921784001
