concept1,concept2,textures,mse,range
evil,peace,"M22, M102, F102, G22, P53, P22",8.855378009047837e-4,0.9700679286082504
evil,peace,"S53, M51, P22, G75, S102, G102",0.00124263137734722,0.8769620182776293
evil,peace,"P24, M0, M75, M24, G51, F53",8.419974698473558e-4,0.8942598154302956
evil,peace,"S102, M0, M53, M24, G102, F0",9.40288976352667e-4,0.8803601326076751
evil,peace,"M0, F102, G102, G0, F0, M22",0.00124584154089859,0.8824060786616268
evil,peace,"G51, P24, P22, F102, S0, F75",0.00121751204170685,0.876442951405054
evil,peace,"F51, F53, P24, G0, M75, F0",0.00112919144471342,0.9011818227136676
evil,peace,"P24, F0, F53, S24, G0, P0",0.00118372198450961,0.9011818227136676
evil,peace,"G102, F51, P0, F102, S24, P102",0.00107200449833337,0.8923053501964637
evil,peace,"S51, G53, M22, P102, F75, P53",0.00145179208845574,0.930620016794236
evil,peace,"G102, P102, S0, M51, G51, F75",0.00110312753439328,0.883394586989704
evil,peace,"G75, M22, F0, M53, M0, P24",0.00132004774165979,0.9231643542553092
evil,peace,"P75, F22, P22, G51, F24, F75",0.00125583272347278,0.9139623698535811
evil,peace,"G22, S51, F24, G102, P22, S0",0.00125496348059166,0.951979879682195
evil,peace,"F24, P102, S53, G51, G102, F22",0.00102254479587334,0.8903909319203767
evil,peace,"M75, M53, M102, P102, S102, G51",8.435753403501937e-4,0.9385210482241568
evil,peace,"F53, P0, G102, G0, F0, S22",0.00132682486861096,0.8731721878423366
evil,peace,"S22, P22, M102, M22, G51, P53",0.00107152466164068,0.9850474071716588
evil,peace,"S22, S102, S53, G102, P22, F24",0.00127679201656466,0.8747457292163572
evil,peace,"S22, P102, F75, F53, S0, G22",0.00118699887799032,0.931480404059971
evil,peace,"S75, F0, G102, G53, G0, F53",0.00124437889131461,0.8731721878423366
evil,peace,"M102, G24, P22, S102, F24, G102",0.00119708213377037,0.8797839692652036
evil,peace,"F24, S51, P102, F75, P75, S102",7.920370953880671e-4,0.89881653044954
evil,peace,"P102, S102, S53, F22, P0, P75",0.00115364348904964,0.8884236275592967
evil,peace,"F51, G53, P51, M0, F0, G0",0.00122941455297839,0.9143866240711136
evil,peace,"F53, M53, P51, M0, G51, P0",8.889033786896856e-4,0.8995622373803186
evil,peace,"G22, S75, G75, F53, M51, P102",0.00126648300668165,0.9865923214812086
evil,peace,"M24, G75, G22, P53, P22, S75",0.0012312028731597,0.9820374518499996
evil,peace,"F53, G102, P24, P53, S51, P51",0.00122251075412062,0.9233198939106412
evil,peace,"S75, M24, M0, M53, G102, F0",0.0011559090047564,0.8803601326076751
evil,peace,"S24, P102, S22, G51, M22, M53",0.00136634489308296,0.9403613391979952
evil,peace,"P51, G53, G51, F0, M53, M22",0.00138349377999898,0.9271352647934652
evil,peace,"G75, G22, P102, S102, M51, M53",6.715297211811538e-4,0.9356855232622496
evil,peace,"P51, M0, M53, F53, G51, M75",8.813213347286917e-4,0.8995622373803186
evil,peace,"F102, M24, G24, P102, M53, G51",0.00117724232500619,0.925566752421692
evil,peace,"P0, P75, M51, S75, S24, P102",0.00140688305966158,0.9109815558423228
evil,peace,"P24, F0, F51, G0, M75, F53",0.00112919144471342,0.9011818227136676
evil,peace,"P102, G22, M0, G75, S53, F22",0.00119890811724919,0.9422697264414088
evil,peace,"P75, F75, S0, G22, P22, F24",0.00125575298173293,0.909469304833473
evil,peace,"P102, F51, M24, G22, M53, S75",0.00141887660276559,0.925566752421692
evil,peace,"F102, S22, F24, G22, M53, P102",0.00125152122457072,0.958978051608584
