concept1,concept2,textures,mse,range
frog,lion,"F22, M102, F102, S0, P102, F51",0.001054643740292199,0.9330731216942868
frog,lion,"F0, F22, M51, F53, F51, S102",0.0010464786109891978,0.9404330697489113
frog,lion,"P75, G22, M51, G24, P51, F0",0.0010131162758538425,0.9453154353514891
frog,lion,"G51, M24, F75, F24, P22, F102",0.0013190179528406868,0.963014896057102
frog,lion,"S75, P0, F22, G75, S51, G22",0.001603155211635597,0.907222896851835
frog,lion,"S51, G53, P75, M102, G102, G75",0.0012328473380212206,0.908190785854522
frog,lion,"G22, G51, P75, M75, S75, P102",0.0014210225167777747,0.9759429375961426
frog,lion,"G51, P53, F75, M22, F51, F24",0.002024586188321393,0.9313532139939839
frog,lion,"S102, F75, F22, P102, F51, M102",9.238368050751385e-4,0.9196305152093258
frog,lion,"G24, P102, P51, G51, M51, F0",8.705765283833359e-4,0.9453154353514891
frog,lion,"P102, S53, G0, F22, S0, S24",0.0010787230450224649,0.900786089731344
frog,lion,"F0, P22, P53, G102, G24, M51",0.001079709052885194,0.9522499002738726
frog,lion,"P53, F22, F75, F51, S102, M102",0.0011014608372060515,0.9196305152093258
frog,lion,"P22, F102, G51, M0, F75, F24",0.0013045764802070664,0.963703368190107
frog,lion,"G102, G0, G22, G75, P22, M102",0.0014721228667468988,0.8522389596552987
frog,lion,"G102, G75, P102, S53, M102, G51",0.001247117340919055,0.9603814367176737
frog,lion,"G22, P51, F102, F24, F0, M24",5.769750810011744e-4,0.9522951301680841
frog,lion,"G22, M51, F51, G102, P0, P53",0.001018116765183525,0.939917130531492
frog,lion,"G102, P75, G24, S51, S22, M102",0.00133442218154087,0.8921324444768961
frog,lion,"P51, M102, F75, F0, S24, F24",0.0010222460744479904,0.9461171193168412
frog,lion,"F0, P51, M22, P102, F102, M102",0.001548039999099665,0.9085787138083391
frog,lion,"P24, S24, G0, F51, S75, S0",0.001458666817041185,0.8487334370293472
frog,lion,"F22, M102, F75, S51, F51, P0",0.0010185681976486206,0.9209877819384829
frog,lion,"S24, G0, F22, S75, P24, G53",0.0010625844495512349,0.8671652887373003
frog,lion,"S22, F22, F51, F75, F0, M51",8.248974305433759e-4,0.9402511821804418
frog,lion,"F0, F51, S24, F53, G51, F22",0.0014365446944167605,0.8780009463839193
frog,lion,"G75, S53, G22, P75, M102, S22",0.001749281194278297,0.9297405406145587
frog,lion,"F75, M24, G22, F0, F24, P22",8.04444962812665e-4,0.9592295950904676
frog,lion,"G0, P24, S24, S0, S51, F22",9.959521527161147e-4,0.8742663174898178
frog,lion,"G22, M0, F0, F75, P51, F24",5.901144965575275e-4,0.9528336680854581
frog,lion,"M22, F24, P22, G22, P51, F102",8.910579060744091e-4,0.9150804380424893
frog,lion,"G102, G51, P0, S102, G53, M102",0.0015810341601635446,0.9577549190249968
frog,lion,"F102, P0, G0, S75, S24, G53",0.0016617677837623985,0.8370391030719192
frog,lion,"M0, P22, F53, F51, F24, G51",0.0010482178733060732,0.9280975150825903
frog,lion,"S0, G51, P53, M75, G24, P75",0.0013892700821623294,0.9613741154790133
frog,lion,"F22, S22, P102, G0, S24, S75",0.0011912614327841654,0.8671652887373003
frog,lion,"G102, P102, M102, G24, G53, P53",0.001352443968535512,0.9457108416032978
frog,lion,"P75, F51, F0, M22, G51, F53",0.0016722953460687013,0.9262219797024404
frog,lion,"F51, F0, P51, S102, M102, F22",0.0015525418670666428,0.9325894625386622
frog,lion,"G51, F0, P53, G75, P51, M51",0.0012860890919535412,0.9493835495241242
frog,lion,"F0, M53, G51, F51, F24, G102",0.0011433322380678833,0.9593951749930557
frog,lion,"P102, F53, S53, F22, F51, M102",9.548032167462638e-4,0.9171257986104593
frog,lion,"F75, M24, G22, F51, F0, F24",0.00200889103595272,0.9393361828387478
frog,lion,"F22, G102, P22, F51, F53, S75",0.001418587585367097,0.8631646289305843
frog,lion,"S24, G75, S75, G0, P24, F22",0.0010813543496923292,0.8671652887373003
frog,lion,"P102, S51, F102, F75, M102, F22",0.0010114512500592513,0.9514624007544561
frog,lion,"M51, F51, P22, F75, F22, G24",0.0014289938218248139,0.9323564880221528
frog,lion,"S51, F51, P53, F75, F22, M102",0.0010666379436244642,0.9209877819384829
frog,lion,"G53, M51, F24, F51, F102, M102",0.001268178310601552,0.9567772020063599
frog,lion,"F53, F22, M102, S102, F75, P75",0.0012606262541744403,0.9607198783416238
frog,lion,"F0, M102, P51, F75, S0, F22",0.0012437272540066953,0.9305922632185831
frog,lion,"M51, P51, P102, G75, G51, F0",0.0012309459881493716,0.9493835495241242
frog,lion,"F75, M51, F0, F22, G75, F51",0.0010272745116431442,0.9364246021947878
frog,lion,"S102, P24, G102, S22, G24, M102",0.001127283599907138,0.8907751777477391
frog,lion,"G24, F22, G0, S75, P24, S53",0.001679751413682117,0.877661992843682
frog,lion,"S75, S24, P0, G0, G24, F22",0.0012098746406590743,0.8671652887373003
frog,lion,"P102, F22, G75, S51, G0, S24",0.0010458977796514446,0.8628936544951185
frog,lion,"F53, F51, F0, F24, M75, S53",0.0013472125787734534,0.9295616646019903
frog,lion,"G24, S24, F0, G0, F22, S102",0.0013447037577322505,0.8490116662445564
frog,lion,"F24, M24, F51, F0, G102, G51",0.0012641642841350075,0.9706646810567997
frog,lion,"G22, M51, F22, P0, G102, P102",0.0014965638909500702,0.9301301339625443
frog,lion,"P53, G22, G102, S75, P24, M75",0.0010305446900610283,0.9562346596582115
frog,lion,"P102, F102, F51, F0, G51, M24",0.001507080707434421,0.9479800830461688
frog,lion,"G51, S51, P102, P75, G22, M75",0.0014262551277356456,0.9722245708700477
frog,lion,"M51, P102, P24, G53, G22, F0",0.0013222199268808719,0.9684760736195359
frog,lion,"G53, M102, P102, S0, G24, G51",9.95914681050765e-4,0.9187517305433842
frog,lion,"F102, S51, S24, G0, P0, S22",0.0016543472453757475,0.8327674688297374
frog,lion,"G51, F24, M24, G102, F75, F0",0.001554342187699497,0.9706646810567997
frog,lion,"F22, S0, F53, P0, M102, F51",9.280284708085005e-4,0.9125020815977033
frog,lion,"F22, P0, F53, F75, P22, S24",0.0018781728502024829,0.9242215438077608
frog,lion,"F75, M102, F22, S0, P75, F102",0.0010655057792707014,0.94810793470522
frog,lion,"G102, M102, S102, P53, S22, G24",0.001382637131394729,0.8907751777477391
frog,lion,"G22, M51, F51, P0, G51, P53",0.001001763404457018,0.939917130531492
frog,lion,"G102, F0, G24, P102, M51, P22",9.774254463137985e-4,0.9522499002738726
frog,lion,"M102, S102, G24, S22, P75, G51",0.0011418538170180797,0.8907751777477391
frog,lion,"M102, F0, G53, S75, G75, G22",0.0017189266145052435,0.9132743528285909
frog,lion,"G75, G102, G24, M102, P0, S102",0.0010864953539187594,0.9292930302654707
frog,lion,"S51, P102, F53, F75, M102, F22",0.0012263312959169643,0.9620771450707808
frog,lion,"F51, P102, S75, S22, G0, S24",0.0015022199006117204,0.8487334370293472
frog,lion,"M102, F53, F22, F102, S0, P75",0.001048930377465848,0.9431125007761177
frog,lion,"P75, M75, F102, F22, F53, S0",0.001839210999753839,0.9568920712906638
frog,lion,"G102, G24, S22, S51, P75, M102",0.00133442218154087,0.8921324444768961
frog,lion,"F102, P24, S53, M102, F22, F53",0.0012434275795127597,0.9477362177888737
frog,lion,"G51, P102, M102, S22, G24, P0",0.0012516635079516257,0.9420501664969063
frog,lion,"M102, P102, S102, F53, F22, F51",9.330528984954398e-4,0.9144992809177823
frog,lion,"G22, F0, G75, P102, M51, P24",9.221732746597372e-4,0.9635632796130039
frog,lion,"M102, S102, G102, G75, P24, S22",0.001107226801730768,0.9271140229218817
frog,lion,"M51, G22, G0, P22, P75, P51",0.0014013640415459065,0.8976831337209472
frog,lion,"M102, P75, S75, F53, F22, F51",0.0011310274240256767,0.9209401146210083
frog,lion,"G102, G22, P53, P24, M75, S75",0.0010305446900610283,0.9562346596582115
frog,lion,"S22, G102, P102, M102, S0, G24",0.0010287800242438372,0.8975896482657743
frog,lion,"G53, M75, G0, G22, G102, F24",0.0016112718483259224,0.8800886298175378
frog,lion,"F0, M0, G51, P53, F102, F51",0.0014210254298658064,0.9486685551791738
frog,lion,"P51, P75, M102, M0, F0, F51",0.0011517181827783434,0.9095417909172302
frog,lion,"G22, F51, G102, P0, P53, M51",0.001018116765183525,0.939917130531492
frog,lion,"S53, G75, G24, M102, G51, P24",0.0012547637293990983,0.9319195479581477
frog,lion,"F0, P75, G0, G22, P51, M51",0.0014631531159141383,0.9340133573014001
frog,lion,"M75, F51, F24, F102, S75, F0",0.0011268376108956725,0.9527362112441058
frog,lion,"P75, P0, G24, G53, M102, G51",0.0012800755701042044,0.9372065715686464
frog,lion,"G24, G102, S102, P0, M75, P53",0.0015541977257733928,0.978787646403521
frog,lion,"F24, S22, M102, M51, F75, F51",0.0013015854036695525,0.9402511821804418
frog,lion,"S75, P75, M102, G53, G51, G75",0.0015869443604112406,0.9132743528285909
frog,lion,"M102, G102, P75, G53, G24, S0",9.296403129287229e-4,0.9187517305433842
frog,lion,"F53, M102, F22, P75, F51, S75",0.0011310274240256767,0.9209401146210083
frog,lion,"F0, G22, M51, P51, P0, G0",0.0013731166026530902,0.9340133573014001
frog,lion,"F0, S51, P51, M102, F22, F24",9.38483121287794e-4,0.9339467292678192
frog,lion,"F0, P53, P75, S22, M51, G22",0.0011053139865687624,0.9702124112556623
frog,lion,"M75, S22, G0, P75, P0, G22",0.0014513633370354516,0.9513782906020024
frog,lion,"S0, M51, F53, F0, F51, F22",9.628152039249469e-4,0.9397753096094233
frog,lion,"F102, F22, M102, P53, F51, S0",0.0012800322699913459,0.9330731216942868
frog,lion,"P102, S102, S22, G102, G24, M102",0.0010806031474911448,0.8907751777477391
frog,lion,"G22, G75, P22, G24, M102, G102",8.663868231277105e-4,0.9066993578909347
frog,lion,"F0, M51, F102, F22, G53, F51",8.296797924780033e-4,0.9567772020063599
frog,lion,"P22, G51, M24, F24, F75, F102",0.0013190179528406868,0.963014896057102
frog,lion,"M24, F24, G102, F75, P22, F51",0.001054747374423819,0.9310123218255278
frog,lion,"F53, P75, F22, M102, S53, F102",0.0010493987468013833,0.9477362177888737
frog,lion,"F102, F22, M102, S51, F53, P75",0.0010517062299869656,0.9464669668253538
frog,lion,"F0, P53, M51, G22, G75, P75",0.0010711620191181206,0.9663858312700083
frog,lion,"S75, F22, S24, G0, P75, S102",0.001138707714543087,0.8860479054853148
frog,lion,"S22, P0, G102, G51, M102, S75",0.0015391691455527783,0.9641957527282228
frog,lion,"M51, F0, F24, G51, P51, G0",0.0013405098036921956,0.9340133573014001
frog,lion,"M22, P0, F0, M102, P22, F24",0.0014443312855069823,0.9335972974048327
frog,lion,"P75, G24, M53, F24, P24, F0",0.0018936162575154294,0.9830011964507689
frog,lion,"F75, F51, G53, M102, F22, P102",0.0011683112244339315,0.9086759799701158
frog,lion,"P102, P75, S51, G51, M75, G22",0.0014262551277356456,0.9722245708700477
frog,lion,"F22, P24, S53, F102, F51, M102",0.0013825273544622097,0.9376968387070428
frog,lion,"M102, S102, P0, F22, F102, F75",0.0010359416649627742,0.9501051340252991
frog,lion,"P22, G22, M0, F75, F0, F24",8.011378902383966e-4,0.9597681330078416
